rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,54,767,29.75,174737.31,0.8676
2,44,0,703,29.33,157803.55,0.7836
3,31,41,977,39.04,148215.73,0.736
4,45,7914,8759,35.25,146499.44,0.7274
5,57,0,836,34.88,135022.02,0.6704
6,10,0,1097,45.75,133686.94,0.6638
7,13,7736,8442,29.46,133180.66,0.6613
8,9,0,919,38.33,123366.89,0.6126
9,33,7864,8753,37.08,118685.42,0.5893
10,11,8199,8686,20.33,112103.47,0.5566
11,27,0,441,18.42,104872.99,0.5207
12,25,664,1207,22.67,100780.8,0.5004
13,54,7927,8493,23.62,97347.51,0.4834
14,58,152,823,28.0,97144.48,0.4824
15,32,8247,8759,21.38,96124.79,0.4773
16,24,447,799,14.71,96098.08,0.4772
17,49,15,425,17.12,92157.96,0.4576
18,37,208,762,23.12,88652.99,0.4402
19,51,56,573,21.58,87664.78,0.4353
20,42,809,1198,16.25,84915.94,0.4216
21,35,0,368,15.38,83912.47,0.4167
22,41,328,594,11.12,80659.05,0.4005
23,55,8144,8514,15.46,79813.01,0.3963
24,52,486,846,15.04,79186.34,0.3932
25,17,0,453,18.92,78905.07,0.3918
26,47,185,415,9.62,77719.2,0.3859
27,46,495,872,15.75,77561.88,0.3851
28,15,592,1103,21.33,76445.49,0.3796
29,53,7878,8323,18.58,75647.54,0.3756
30,7,8247,8759,21.38,71964.33,0.3573
31,43,712,1270,23.29,71201.96,0.3535
32,30,1184,1472,12.04,70662.84,0.3509
33,34,641,1159,21.62,68972.63,0.3425
34,18,150,405,10.67,68929.57,0.3423
35,43,0,550,22.96,68625.17,0.3408
36,38,0,319,13.33,68442.45,0.3398
37,13,0,871,36.33,68329.92,0.3393
38,60,520,1063,22.67,67640.29,0.3359
39,20,0,175,7.33,67169.32,0.3335
40,39,16,384,15.38,67015.6,0.3328
41,21,8215,8718,21.0,65569.19,0.3256
42,50,1039,1329,12.12,65100.04,0.3233
43,22,135,246,4.67,64635.93,0.3209
44,34,327,559,9.71,62800.08,0.3118
45,56,185,546,15.08,60346.21,0.2996
46,46,977,1385,17.04,60147.13,0.2987
47,16,7711,8299,24.54,57647.55,0.2862
48,1,689,1015,13.62,57156.12,0.2838
49,19,8168,8327,6.67,56911.26,0.2826
50,44,8224,8633,17.08,56676.54,0.2814
51,5,760,1105,14.42,56502.06,0.2806
52,48,7878,8167,12.08,55880.11,0.2775
53,12,592,919,13.67,55686.15,0.2765
54,33,0,416,17.38,55463.3,0.2754
55,59,39,354,13.17,54911.95,0.2727
56,55,199,885,28.62,54235.38,0.2693
57,26,119,367,10.38,53357.02,0.2649
58,42,8046,8759,29.75,52889.46,0.2626
59,46,8033,8564,22.17,52576.18,0.2611
60,42,150,689,22.5,51356.89,0.255
61,8,8169,8467,12.46,51243.22,0.2544
62,23,8345,8561,9.04,49789.6,0.2472
63,1,8213,8505,12.21,49768.32,0.2471
64,29,0,153,6.42,49661.85,0.2466
65,28,400,679,11.67,48085.39,0.2388
66,40,391,737,14.46,47798.11,0.2373
67,2,0,198,8.29,46676.46,0.2318
68,30,8296,8553,10.75,46480.52,0.2308
69,18,8369,8759,16.29,46189.28,0.2294
70,29,8047,8408,15.08,44529.76,0.2211
71,11,0,434,18.12,43839.74,0.2177
72,7,7870,8144,11.46,43562.72,0.2163
73,36,7985,8321,14.04,42867.33,0.2129
74,9,8238,8720,20.12,42674.44,0.2119
75,16,405,847,18.46,40814.17,0.2027
76,6,8367,8502,5.67,40378.18,0.2005
77,40,928,1134,8.62,39912.82,0.1982
78,8,0,319,13.33,39530.91,0.1963
79,32,0,297,12.42,38889.63,0.1931
80,15,0,127,5.33,38063.5,0.189
81,60,8119,8299,7.54,37690.31,0.1871
82,5,424,668,10.21,37433.5,0.1859
83,43,7673,7991,13.29,36388.83,0.1807
84,33,1029,1446,17.42,35629.53,0.1769
85,56,616,895,11.67,35572.25,0.1766
86,53,8431,8545,4.79,34117.0,0.1694
87,22,7889,8397,21.21,32907.62,0.1634
88,4,7878,7976,4.12,32266.67,0.1602
89,47,7721,8154,18.08,31190.4,0.1549
90,16,8391,8681,12.12,30980.96,0.1538
91,14,8633,8759,5.29,29964.99,0.1488
92,38,822,966,6.04,28522.52,0.1416
93,51,832,1133,12.58,27380.41,0.136
94,1,1183,1519,14.04,26357.82,0.1309
95,16,0,265,11.08,26341.82,0.1308
96,36,7694,7782,3.71,26335.43,0.1308
97,48,654,797,6.0,26235.49,0.1303
98,25,0,167,7.0,25905.97,0.1286
99,8,535,848,13.08,25688.89,0.1276
100,24,7959,8167,8.71,25257.51,0.1254
101,23,151,320,7.08,25203.38,0.1251
102,21,7576,7769,8.08,24247.8,0.1204
103,12,17,209,8.04,23257.85,0.1155
104,57,8105,8395,12.12,23035.34,0.1144
105,46,0,295,12.33,22588.03,0.1122
106,41,7672,7976,12.71,22366.03,0.1111
107,51,7576,7847,11.33,22308.15,0.1108
108,50,7769,8023,10.62,22118.1,0.1098
