rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,22,103,785,28.46,296490.9,1.11
2,53,295,632,14.08,240016.43,0.8986
3,51,645,1278,26.42,210936.85,0.7897
4,14,1008,1468,19.21,204300.52,0.7648
5,57,814,1159,14.42,192896.66,0.7222
6,35,319,754,18.17,188045.07,0.704
7,12,8287,8720,18.08,180863.01,0.6771
8,21,102,464,15.12,168062.09,0.6292
9,17,486,920,18.12,167295.36,0.6263
10,16,798,1176,15.79,161200.31,0.6035
11,25,17,703,28.62,154906.79,0.5799
12,30,7903,8360,19.08,140220.01,0.5249
13,25,1350,1543,8.08,129174.34,0.4836
14,52,654,872,9.12,124515.75,0.4662
15,38,7824,8072,10.38,121897.68,0.4564
16,15,893,1088,8.17,120181.22,0.4499
17,54,17,223,8.62,112269.29,0.4203
18,48,5,250,10.25,112065.61,0.4195
19,4,653,776,5.17,110652.05,0.4142
20,59,316,749,18.08,103382.11,0.387
21,58,209,392,7.67,99738.86,0.3734
22,59,889,1039,6.29,98508.71,0.3688
23,46,0,193,8.08,98412.18,0.3684
24,34,8239,8433,8.12,95060.52,0.3559
25,43,222,438,9.04,94952.08,0.3555
26,46,952,1182,9.62,87856.25,0.3289
27,31,870,1112,10.12,87254.29,0.3267
28,56,0,241,10.08,86300.46,0.3231
29,50,535,821,11.96,85015.23,0.3183
30,23,8691,8759,2.88,84508.95,0.3164
31,32,1326,1409,3.5,84349.34,0.3158
32,58,991,1241,10.46,83035.08,0.3109
33,44,1223,1344,5.08,82446.19,0.3087
34,27,7984,8168,7.71,80302.88,0.3006
35,8,511,682,7.17,77241.19,0.2892
36,52,5,270,11.08,74978.8,0.2807
37,11,1197,1289,3.88,73274.11,0.2743
38,37,221,369,6.21,71013.65,0.2659
39,18,29,288,10.83,70906.6,0.2655
40,26,919,1031,4.71,70696.49,0.2647
41,1,352,487,5.67,69518.14,0.2603
42,13,53,128,3.17,69430.54,0.2599
43,8,79,267,7.88,68329.61,0.2558
44,30,893,1209,13.21,67088.44,0.2512
45,52,929,1280,14.67,64460.41,0.2413
46,58,568,824,10.71,62665.78,0.2346
47,7,160,281,5.08,61609.07,0.2306
48,47,581,682,4.25,60786.76,0.2276
49,57,0,200,8.38,59657.48,0.2233
50,28,112,177,2.75,56978.34,0.2133
51,47,8214,8432,9.12,56572.29,0.2118
52,44,119,320,8.42,55436.03,0.2075
53,49,785,918,5.58,54026.59,0.2023
54,18,653,681,1.21,52889.02,0.198
55,55,7816,7878,2.62,52530.12,0.1967
56,44,653,847,8.12,51909.22,0.1943
57,2,8311,8431,5.04,51460.44,0.1927
58,6,1303,1350,2.0,50766.74,0.1901
59,19,977,1033,2.38,49776.16,0.1863
60,41,1216,1278,2.62,49750.33,0.1863
61,11,8670,8759,3.75,49685.39,0.186
62,39,127,247,5.04,49423.46,0.185
63,37,823,966,6.0,49204.33,0.1842
64,33,1069,1211,5.96,48662.18,0.1822
65,45,151,257,4.46,46416.17,0.1738
66,45,8450,8517,2.83,45096.23,0.1688
67,31,1182,1256,3.12,44858.94,0.1679
68,33,175,223,2.04,43679.68,0.1635
69,51,4,177,7.25,42539.57,0.1593
70,12,185,281,4.04,42276.5,0.1583
71,56,8200,8407,8.67,41871.08,0.1568
72,3,1927,1975,2.04,41369.32,0.1549
73,54,880,966,3.62,40696.73,0.1524
74,42,8273,8335,2.62,40347.79,0.1511
75,19,1087,1206,5.0,39904.38,0.1494
76,57,598,752,6.46,39636.68,0.1484
77,48,8213,8312,4.17,37630.63,0.1409
78,50,126,248,5.12,37190.8,0.1392
79,36,271,438,7.0,36071.73,0.135
80,15,8407,8504,4.08,36006.76,0.1348
81,54,8441,8575,5.62,35929.15,0.1345
82,20,495,533,1.62,35534.28,0.133
83,42,1360,1447,3.67,35112.9,0.1315
84,13,8126,8167,1.75,33106.36,0.1239
85,38,8381,8456,3.17,32608.42,0.1221
86,5,8055,8119,2.71,32085.91,0.1201
87,3,1097,1161,2.71,31312.3,0.1172
88,6,222,318,4.04,31074.14,0.1163
89,10,7982,8047,2.75,30780.04,0.1152
90,48,1630,1802,7.21,30670.33,0.1148
91,9,310,367,2.42,30348.93,0.1136
92,29,79,122,1.83,29107.33,0.109
93,40,760,799,1.67,29064.83,0.1088
94,24,8407,8527,5.04,28323.82,0.106
95,9,687,752,2.75,28235.66,0.1057
96,1,966,1053,3.67,28123.56,0.1053
97,34,8506,8623,4.92,27942.87,0.1046
98,10,496,581,3.58,26339.1,0.0986
99,43,1591,1635,1.88,26163.16,0.0979
100,21,7912,7999,3.67,26161.12,0.0979
101,55,8680,8759,3.33,25404.49,0.0951
102,56,726,775,2.08,25017.56,0.0937
103,52,8383,8527,6.04,24225.55,0.0907
104,29,7951,7978,1.17,23383.52,0.0875
105,4,8176,8228,2.21,22602.08,0.0846
106,39,8728,8759,1.33,22521.24,0.0843
107,24,0,7,0.33,22408.32,0.0839
108,42,8430,8479,2.08,22132.73,0.0829
109,29,8670,8719,2.08,22103.9,0.0828
110,52,8711,8759,2.04,21631.63,0.081
111,24,7983,8042,2.5,21544.35,0.0807
112,45,8719,8759,1.71,21444.46,0.0803
113,40,8176,8233,2.42,21196.71,0.0794
114,36,702,752,2.12,20995.53,0.0786
115,5,341,390,2.08,20375.47,0.0763
116,16,649,737,3.71,19576.64,0.0733
117,50,1015,1075,2.54,19232.93,0.072
118,30,7614,7663,2.08,18457.51,0.0691
119,60,7935,7967,1.38,18003.6,0.0674
120,60,8311,8359,2.04,17581.68,0.0658
121,11,8441,8502,2.58,17516.58,0.0656
122,40,6,54,2.04,17501.81,0.0655
123,4,342,416,3.12,17430.51,0.0653
124,5,799,847,2.04,17430.48,0.0653
125,10,189,319,5.46,17243.85,0.0646
126,25,1014,1064,2.12,17240.77,0.0645
127,41,8224,8263,1.67,16720.26,0.0626
128,46,846,890,1.88,16215.44,0.0607
129,49,319,367,2.04,16132.6,0.0604
130,20,341,390,2.08,15657.56,0.0586
131,9,1720,1734,0.62,15291.6,0.0572
132,23,750,799,2.08,15237.84,0.057
133,16,222,273,2.17,14797.01,0.0554
134,34,8152,8184,1.38,14723.64,0.0551
135,12,0,79,3.33,14441.24,0.0541
136,48,8081,8112,1.33,14249.41,0.0533
137,47,55,79,1.04,14076.62,0.0527
138,20,711,722,0.5,13828.63,0.0518
139,14,8622,8657,1.5,13815.76,0.0517
140,3,7719,7735,0.71,13265.41,0.0497
141,40,8431,8479,2.04,13166.98,0.0493
142,35,1073,1106,1.42,12654.72,0.0474
143,37,653,713,2.54,12626.02,0.0473
144,1,8047,8106,2.5,12613.7,0.0472
145,16,8454,8503,2.08,12227.99,0.0458
146,7,8224,8263,1.67,11584.79,0.0434
147,60,487,535,2.04,11570.76,0.0433
148,18,486,560,3.12,11370.0,0.0426
149,60,999,1037,1.62,11355.93,0.0425
150,42,1228,1235,0.33,11153.45,0.0418
