rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,63,585,21.79,160120.34,0.7951
2,31,185,966,32.58,138335.04,0.6869
3,44,0,416,17.38,129030.44,0.6407
4,45,8033,8335,12.62,106993.46,0.5313
5,11,8224,8526,12.62,99625.42,0.4947
6,9,64,594,22.12,96313.65,0.4782
7,32,8248,8759,21.33,96040.93,0.4769
8,13,8080,8313,9.75,95448.25,0.4739
9,24,486,799,13.08,93141.18,0.4625
10,27,7,271,11.04,86785.43,0.4309
11,49,39,344,12.75,84991.76,0.422
12,25,832,1088,10.71,80951.91,0.402
13,41,328,551,9.33,77872.71,0.3867
14,35,0,249,10.42,76056.27,0.3777
15,42,833,1076,10.17,75746.44,0.3761
16,37,327,680,14.75,75676.16,0.3758
17,51,151,439,12.04,72443.07,0.3597
18,47,281,415,5.62,71457.68,0.3548
19,46,520,785,11.08,70675.73,0.3509
20,52,519,727,8.71,69029.65,0.3428
21,30,1208,1440,9.71,66700.41,0.3312
22,20,31,175,6.04,64987.18,0.3227
23,18,174,370,8.21,64669.81,0.3211
24,22,137,246,4.58,64484.47,0.3202
25,58,304,583,11.67,63976.8,0.3177
26,38,16,258,10.12,63282.44,0.3142
27,55,8383,8504,5.08,62390.04,0.3098
28,15,713,1002,12.08,61061.78,0.3032
29,34,329,529,8.38,60838.03,0.3021
30,33,7902,8383,20.08,60805.44,0.3019
31,57,343,681,14.12,60414.45,0.3
32,50,1121,1318,8.25,59286.9,0.2944
33,56,208,535,13.67,58195.99,0.289
34,53,7911,8129,9.12,57743.66,0.2867
35,57,30,261,9.67,55711.77,0.2766
36,10,847,1087,10.04,54932.9,0.2728
37,19,8191,8311,5.04,54262.65,0.2694
38,44,8238,8585,14.5,52663.55,0.2615
39,54,8056,8321,11.08,51605.38,0.2562
40,17,320,438,4.96,50729.89,0.2519
41,34,822,1104,11.79,50578.78,0.2511
42,39,255,384,5.42,49866.94,0.2476
43,33,0,319,13.33,49565.84,0.2461
44,21,8415,8671,10.71,49563.52,0.2461
45,59,41,270,9.58,49558.62,0.2461
46,43,822,1043,9.25,48599.19,0.2413
47,1,703,872,7.08,45622.43,0.2265
48,2,17,198,7.58,45533.07,0.2261
49,5,782,942,6.71,44778.47,0.2223
50,23,8392,8527,5.67,44525.51,0.2211
51,28,449,669,9.21,44358.27,0.2203
52,29,78,127,2.08,42853.59,0.2128
53,48,7910,8000,3.79,42665.07,0.2119
54,33,8512,8646,5.62,40408.02,0.2006
55,30,8392,8551,6.67,39855.56,0.1979
56,1,8368,8498,5.46,39113.86,0.1942
57,46,1146,1232,3.62,38481.72,0.1911
58,46,8071,8345,11.46,36515.49,0.1813
59,15,16,103,3.67,35329.17,0.1754
60,60,8150,8286,5.71,34722.36,0.1724
61,8,8194,8240,1.96,34594.15,0.1718
62,60,823,919,4.04,34526.69,0.1714
63,53,8431,8537,4.46,33545.19,0.1666
64,10,88,270,7.62,32988.49,0.1638
65,7,8704,8759,2.33,32321.1,0.1605
66,40,1015,1104,3.75,32167.76,0.1597
