rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,53,391,552,6.75,189963.97,0.7112
2,22,592,655,2.67,144947.14,0.5426
3,52,679,836,6.58,112234.46,0.4202
4,25,1456,1533,3.25,96710.82,0.3621
5,16,822,893,3.0,95865.46,0.3589
6,38,7912,8057,6.08,93329.29,0.3494
7,57,1062,1111,2.08,89555.94,0.3353
8,59,906,1015,4.58,89515.53,0.3351
9,14,1327,1399,3.04,87916.88,0.3291
10,15,1015,1063,2.04,87059.67,0.3259
11,4,679,713,1.46,83836.94,0.3139
12,23,8704,8759,2.33,79749.68,0.2986
13,32,1351,1400,2.08,78502.47,0.2939
14,35,521,558,1.58,76963.57,0.2881
15,58,281,360,3.33,76713.53,0.2872
16,48,151,202,2.17,76238.86,0.2854
17,12,8599,8647,2.04,75006.75,0.2808
18,54,151,201,2.12,71356.54,0.2671
19,26,928,1015,3.67,66517.39,0.249
20,11,1207,1271,2.71,65897.59,0.2467
21,34,8368,8430,2.62,64078.15,0.2399
22,13,69,127,2.46,63366.34,0.2372
23,43,238,319,3.42,55719.22,0.2086
24,37,247,319,3.04,55435.27,0.2075
25,7,199,271,3.04,53742.25,0.2012
26,44,1255,1279,1.04,53608.96,0.2007
27,30,8217,8249,1.38,53135.1,0.1989
28,46,93,127,1.46,51715.15,0.1936
29,28,127,176,2.08,50532.19,0.1892
30,18,664,680,0.71,50302.66,0.1883
31,47,616,655,1.67,49399.09,0.1849
32,6,1303,1346,1.83,49176.1,0.1841
33,41,1217,1274,2.42,47734.11,0.1787
34,8,535,607,3.04,47047.5,0.1761
35,19,977,1025,2.04,45009.76,0.1685
36,46,981,1038,2.42,44960.24,0.1683
37,21,208,247,1.67,43637.76,0.1634
38,17,864,919,2.33,42453.95,0.1589
39,51,1048,1063,0.67,41828.87,0.1566
40,35,631,703,3.04,41623.39,0.1558
41,3,1927,1973,1.96,40338.95,0.151
42,57,942,1006,2.71,39917.19,0.1494
43,55,7839,7855,0.71,39683.1,0.1486
44,17,544,559,0.67,39375.58,0.1474
45,33,184,210,1.12,38912.13,0.1457
46,51,737,839,4.29,38488.01,0.1441
47,50,703,799,4.04,38006.68,0.1423
48,11,8695,8753,2.46,37617.13,0.1408
49,39,127,223,4.04,37044.94,0.1387
50,56,151,201,2.12,36583.27,0.137
51,37,836,917,3.42,36562.0,0.1369
52,54,886,942,2.38,34207.01,0.1281
53,45,8479,8516,1.58,34090.99,0.1276
54,42,8296,8327,1.33,33495.42,0.1254
55,8,161,199,1.62,32812.82,0.1228
